,lecturer_topic,learning_program_topic,facility_topic,orther_topic
103,"thầy dạy bài hay , dễ hiểu và nhiệt tình .
","không nên đánh giá tập trung vào một bài thi cuối kỳ duy nhất , chia thành nhiều phần doubledot 60% kiến thức ai doubledot trong đó có thể kiểm tra giấy như hiện nay bài tập lớn 40% một đồ án vận dụng trí tuệ nhân tạo ( ai ) bài thi cuối kỳ không đảm bảo đánh giá đúng chất lượng sinh viên doubledot đề thi cho những câu dễ , chỉ mất thời gian để trình bày hơn là thời gian suy nghĩ .
","cải thiện vật chất như máy chiếu cho phòng học .
","khiến sinh viên mơ hồ về môn này .
"
104,"thầy rất vui và dạy rất kỹ .
","đề quá khó !
","nâng cao chất lượng phòng học .
","cái này vấn đề chung của cả nước mất rồi colonhihi .
"
105,"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .
","môn học tốt .
","phòng thực hành ghế cao quá khiến học sinh ngồi dễ mỏi lưng .
","em không có ý kiến gì .
"
106,"gần gũi với sinh viên .
","nên thêm nhiều kiến thức thực tế hơn nữa .
","cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ , không đủ cấu hình để thực hành .
","có lời cho công việc sau này của mình không .
"
107,"đề cập nhiều thông tin mở rộng ngoài xã hội .
","nhiều bài thuyết trình .
","theo em , giảng đường hơi nóng .
","rất tốt , bám sát môn học .
"
108,"cách giảng dạy của thầy rất vui .
","nên giảm thời gian tiết học môn anh văn , vì thời gian học một buổi dài sẽ ít hiệu quả .
","cơ sở vật chất cần tăng cường hơn , vệ sinh phòng học , hành lang nên tiến hành buổi chiều sau khi sinh viên tan học hoặc sáng sớm , không nên để khi mở cửa cho sinh viên vào 7h20 mới quét rất bụi và ảnh hưởng đến sinh viên , sáng sớm đi học ở hành lang 7h15 - 7h20 cũng quét rất bụi và quét hắt thẳng vào sinh viên đang đi trên hành lang rất khó ứng xử mong ban quản lý cơ sở có ý kiến thêm về việc này .
","tính kỷ luật cao .
"
109,"gíao viên hầu như chỉ dạy qua loa cho có .
","nên thay đổi hình thức kiểm tra .
","cần nâng cấp phần mềm lập trình và dàn máy tính thực hành .
","không ổn .
"
110,"gây mê , hay mắng và rất dễ hờn coloncontemn .
","bài tập đa dạng giúp sinh viên hiểu rõ bài học hơn .
","cơ sở vật chất .
","hy vọng học kỳ tiếp theo được học môn cấu trúc rời rạc của thầy .
"
111,"thầy hay cho những ví dụ , trường hợp rất thực tế .
","nên tăng bài tập và thời gian thực hành .
","cần nâng cấp phòng máy và phần mềm của phòng máy , vì tụi em dùng phần mềm 2013 nhưng phòng máy có máy chỉ có phần mêm 2008 , vì thế rất khó thích ứng và nhất là trong giờ kiểm tra .
","chúng em phải vất vả lắm mới có thể hoàn thành được .
"
112,"thầy dạy rất thuyết phục và dễ hiểu .
","slide chi tiết .
","đề nghị nhà trường có thêm phòng lab để sinh viên học phần nghe được dễ dàng và có hiệu quả hơn !
","rất thất vọng !
"
113,"giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .
","cần cung cấp hướng dẫn thực hành .
","trang thiết bị của phòng thực hành quá cũ kỹ , bụi bặm , không được bảo trì , cập nhật , nâng cấp .
","dạ em không có ý kiến về vấn đề này .
"
114,"cô dạy hay nhiệt huyết tiết học vui nhộn dễ hiểu .
","chấm bài theo hệ thống hay báo lỗi , không được sáng tạo theo lối nghĩ riêng .
","phòng thực hành nóng , khó chịu , hệ thống máy lạnh hay gặp sự cố , cửa phòng cũng hay có vấn đề .
","cần , kiệm , liêm , chính .
"
115,"giáo viên thực hành .
","nên tăng thêm nhiều thời gian thực hành vì môn game khó mà chỉ thực hành có 3 buổi thì không đủ để sinh viên có thể hiểu hết vấn đề .
","chất lượng phòng học cần được cải thiện , cần cải thiện hệ thống điện , máy chiếu cần được cải thiện .
","không có gì không hài lòng cả .
"
116,"giảng viên rất nhiệt tình , giảng bài dễ hiểu .
","cần cho thêm nhiều tài liệu , bài tập để sinh viên tự nghiên cứu .
","nâng cấp thiết bị phòng lab .
","không có sự hứng thú khi lên lớp .
"
117,"hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .
","em nghĩ như vậy sẽ tốt hơn vì họ sẽ biết được khả năng của sinh viên trong lớp tới đâu để cho bài thực hành được phù hợp với trình độ của sinh viên .
","phòng học và thiết bị cần được cải thiện .
","rất hay .
"
118,"giảng viên giảng dạy tốt , nhiệt tình .
","bài tập phong phú .
","cần xem lại những chiếc máy chiếu ở phòng wzjwz40 rất mờ so với phòng wzjwz41 , khi chiếu demo không thấy gì hết !
","mưa cho nghỉ ạ colonsmile .
"
119,"hơi khô khan trong việc giảng dạy .
","bài học khá hữu ích .
","phòng học chất lượng còn kém phòng lab thực hành có đầu tư , máy tính tốt , còn các thiết bị thực hành đầy đủ nhưng còn hỏng hóc nhiều .
","năng động .
"
120,"do trình độ tiếng anh của lớp không cao chỉ một số ít có khả năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu quả của việc giảng dạy bằng tiếng anh là chưa cao .
","các phần bài tập ví dụ cần rõ ràng và rành mạch .
","do phòng thực hành quá nhỏ nên phòng đào tạo cần chia ca thực hành chứ không nên đề các bạn kéo đến và không có chỗ ngồi .
","kiến thức tổng hợp .
"
121,"giảng viên giảng dạy nhiệt tình , lên lớp đúng giờ .
","tăng thời gian nghe tiếng anh .
","nâng cấp phòng máy thực hành .
","khả năng tư duy được nâng cao .
"
122,"thầy vui vẻ , tận tình .
","khiến người học có cảm giác như đang tham gia hội nghị đa cấp thay vì đang học , nội dung môn này nên có thêm phần nói về đạo đức của người kỹ sư , cử nhân ngành công nghệ thông tin thay vì nói về những thứ không thực tế .
","cải thiện chất lượng máy chiếu .
","chú thích những phần cần phải tập trung .
"
123,"tóm lại doubledot cô là giảng viên tệ nhất được học từ năm nhất đến bây giờ .
","nên cho thi hình thức trắc nghiệm , giúp sinh viên được hiểu rộng , đề thi năm nào cũng cùng một dạng , giống như sinh viên đang học tủ .
","phòng học còn nhiều bụi , máy chiếu thường xuyên bị trục trặc , âm thanh của loa chưa tốt .
","wzjwz217 là thầy nào ?
"
124,"nhiệt tình , yêu cô nhiều nhiều colonsmile .
","cần có nhiều bài tập và những buổi bài tập để các sinh viên hiểu được bài .
","cần bảo trì máy tính nhất là bàn phím và chuột .
","bài thực hành nên mang tính chất bắt buộc hoặc khuyến khích sinh viên làm để lấy điểm cộng để tạo động lực cũng như hứng thú với bài thực hành hơn .
"
125,"cô dạy lý thuyết rất dễ hiểu .
","nên nâng cao hơn .
","phòng máy có vấn đề .
","tôi hài lòng .
"
126,"giảng viên cho bài tập sát với nội dung , giảng giải dễ hiểu .
","bài tập còn chưa đa dạng .
","phòng thực hành cần có một số nâng cấp nhỏ về phần mềm lập trình để sinh viên cảm thấy hứng thú hơn để đến học .
","không hài lòng tất cả .
"
127,"chấm điểm hơi khó .
","nội dung quá lý thuyết và sơ sài .
","máy chiếu trong phòng quá mờ .
","cả 3 , 4 buổi thực hành theo hình thức 2 môn này có thầy thầy này tham gia hay hường dẫn buổi nào đâu mà đánh giá , chỉ có mỗi thầy wzjwz100 thôi .
"
128,"sửa bài chữ nhỏ quá .
","không khí lớp học không được sôi động , năng nổ .
","theo em , trường cần trang bị lại máy chiếu , phòng học còn nóng .
","đi sâu vào vấn đề khó hơn .
"
129,"giáo viên nhiệt tình nhưng dạy khó hiểu quá .
","tính thực tiễn của môn học .
","phòng lab khoa mạng có chất lượng khá thấp .
","phần ý kiến của em trong phần khảo sát thầy wzjwz7 em nói có liên quan đến thầy luôn .
"
130,"giáo viên nghỉ không thông báo nhiều lần , ảnh hưởng tới thời gian và công sức của sinh viên .
","tiết học nhàm chán .
","cơ sở vật chất máy tính trường cần được nâng cấp .
","tỉ mỉ .
"
131,"thầy thường xuyên trả lời trễ không trả lời mail của sinh viên .
","cho phép sinh viên chuẩn bị bài trước tiết kiệm thời gian làm thực hành .
","sửa lại các máy chiếu điển hình là phòng wzjwz150 .
","chuyên sâu .
"
132,"cô dạy rất hay và vui .
","đề thi thực hành cuối kỳ không đánh giá đúng kiến thức của học sinh .
","nên nâng cấp hệ thống phòng thí nghiệm .
","hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này .
"
133,"không đáp ứng đủ số buổi học .
","thực hành speaking nhiều hơn .
","cần thêm nhiều thiết bị hỗi trợ học tập .
","chép bài nhiều .
"
134,"giáo viên cần nhiệt tình hơn trong giảng dạy và giờ nên lớp .
","ngoài kiến thức cơ bản môn học , có mở rộng các kiến thức thú vị cho tương lai .
","phòng học còn nóng và bụi bặm , máy chiếu tuy vẫn nhìn được nhưng như thế là mờ , ngồi xa hay hôm nào trời sáng quá sẽ khó thấy , việc chia hay phân công đề tài giảng viên cần tự làm thay vì giao cho lớp trưởng lúc đó sẽ không khách quan nữa vì có sự thiên vị giành giật .
","khá nhiệt tình .
"
135,"giảng không tận tình , chỉ ngồi một chỗ và nói và đọc slide .
","ra đề thi midterm cả lớp toàn 0 , 1 , 2 đến 3 điểm .
","nên đầu tư kỹ về trang thiết bị , nên thực hành nhiều hơn .
","bơi rất vui .
"
136,"giáo viên rất nhiệt tình trong quá trình giảng dạy , sử dụng thời gian rất hợp lý , diễn đạt hay nêu ví dụ .
","nhiều buổi học không có giảng viên , khi liên hệ phòng công tác sinh viên của trường thì không gặp .
","máy chiếu phòng học quá mờ .
","hầu hết sinh viên đều ngủ gật trong lớp .
"
137,"cách sửa bài tập còn sơ sài .
","thực hành chưa được học nhưng trên lớp buổi đầu tiên và buổi học thứ hai đã cho bài tập nhưng lại là bài tập của thực hành , mặt khác là cho rất nhiều .
","trang bị máy tính tốt hơn .
","trung bình .
"
138,"chưa học kiểm thử , bắt làm test thì sao mà làm ?
","cho sinh viên hiểu rõ về nội dung môn học .
","phòng lab wzjwz65 còn rất nóng và nhiều bụi bẩn , mong sớm khắc phục .
","mọi thứ đều ổn .
"
139,"tận tâm , hay .
","đòi hỏi quá cao .
","cần nâng cao cơ sở vật chất và phòng học vì thiếu phòng để thực hành .
","đôi lúc hơi sợ .
"
