lecturer_topic,learning_program_topic,facility_topic,orther_topic
"[{'label': 'POSITIVE', 'score': 0.9985766410827637}]","[{'label': 'POSITIVE', 'score': 0.9979097247123718}]","[{'label': 'NEGATIVE', 'score': 0.9976980090141296}]","[{'label': 'NEGATIVE', 'score': 0.997468113899231}]"
"[{'label': 'NEGATIVE', 'score': 0.9970409274101257}]","[{'label': 'NEGATIVE', 'score': 0.9968392848968506}]","[{'label': 'NEGATIVE', 'score': 0.9975351095199585}]","[{'label': 'NEUTRAL', 'score': 0.9761136174201965}]"
"[{'label': 'POSITIVE', 'score': 0.9986432194709778}]","[{'label': 'NEGATIVE', 'score': 0.9974306225776672}]","[{'label': 'NEGATIVE', 'score': 0.9972689747810364}]","[{'label': 'POSITIVE', 'score': 0.9567944407463074}]"
"[{'label': 'NEUTRAL', 'score': 0.5030930042266846}]","[{'label': 'NEGATIVE', 'score': 0.997840166091919}]","[{'label': 'NEGATIVE', 'score': 0.9975704550743103}]","[{'label': 'NEUTRAL', 'score': 0.7384033799171448}]"
"[{'label': 'POSITIVE', 'score': 0.9987087249755859}]","[{'label': 'NEGATIVE', 'score': 0.9974237680435181}]","[{'label': 'NEGATIVE', 'score': 0.8139781355857849}]","[{'label': 'NEGATIVE', 'score': 0.9970076680183411}]"
"[{'label': 'NEGATIVE', 'score': 0.9886095523834229}]","[{'label': 'NEGATIVE', 'score': 0.9977794289588928}]","[{'label': 'NEGATIVE', 'score': 0.9975740313529968}]","[{'label': 'POSITIVE', 'score': 0.9961806535720825}]"
"[{'label': 'POSITIVE', 'score': 0.9986546039581299}]","[{'label': 'POSITIVE', 'score': 0.9979541301727295}]","[{'label': 'NEGATIVE', 'score': 0.9978839755058289}]","[{'label': 'POSITIVE', 'score': 0.9181378483772278}]"
"[{'label': 'NEGATIVE', 'score': 0.9957848191261292}]","[{'label': 'POSITIVE', 'score': 0.9982158541679382}]","[{'label': 'NEGATIVE', 'score': 0.9975838661193848}]","[{'label': 'POSITIVE', 'score': 0.9854462146759033}]"
"[{'label': 'NEGATIVE', 'score': 0.9972862005233765}]","[{'label': 'NEGATIVE', 'score': 0.9921011328697205}]","[{'label': 'NEGATIVE', 'score': 0.9979367256164551}]","[{'label': 'POSITIVE', 'score': 0.9608221054077148}]"
"[{'label': 'POSITIVE', 'score': 0.9981957077980042}]","[{'label': 'NEGATIVE', 'score': 0.5570530295372009}]","[{'label': 'NEGATIVE', 'score': 0.7641436457633972}]","[{'label': 'POSITIVE', 'score': 0.9412611722946167}]"
"[{'label': 'POSITIVE', 'score': 0.9987251162528992}]","[{'label': 'NEGATIVE', 'score': 0.997465968132019}]","[{'label': 'NEGATIVE', 'score': 0.7531030178070068}]","[{'label': 'POSITIVE', 'score': 0.7674122452735901}]"
"[{'label': 'NEGATIVE', 'score': 0.9973223805427551}]","[{'label': 'NEGATIVE', 'score': 0.997766375541687}]","[{'label': 'NEGATIVE', 'score': 0.9972826242446899}]","[{'label': 'NEUTRAL', 'score': 0.9784762263298035}]"
"[{'label': 'POSITIVE', 'score': 0.9983046054840088}]","[{'label': 'NEGATIVE', 'score': 0.9972232580184937}]","[{'label': 'NEGATIVE', 'score': 0.9976860284805298}]","[{'label': 'NEGATIVE', 'score': 0.9974868297576904}]"
"[{'label': 'POSITIVE', 'score': 0.9981964230537415}]","[{'label': 'NEGATIVE', 'score': 0.9977916479110718}]","[{'label': 'NEUTRAL', 'score': 0.914345920085907}]","[{'label': 'POSITIVE', 'score': 0.9267666339874268}]"
"[{'label': 'POSITIVE', 'score': 0.9982002973556519}]","[{'label': 'NEGATIVE', 'score': 0.9970347881317139}]","[{'label': 'NEGATIVE', 'score': 0.9974430799484253}]","[{'label': 'NEGATIVE', 'score': 0.9977266192436218}]"
"[{'label': 'NEGATIVE', 'score': 0.9972298741340637}]","[{'label': 'NEGATIVE', 'score': 0.9971837401390076}]","[{'label': 'NEGATIVE', 'score': 0.9975528120994568}]","[{'label': 'NEGATIVE', 'score': 0.9892467856407166}]"
"[{'label': 'NEGATIVE', 'score': 0.997077226638794}]","[{'label': 'NEGATIVE', 'score': 0.9938621520996094}]","[{'label': 'NEGATIVE', 'score': 0.9978148937225342}]","[{'label': 'NEGATIVE', 'score': 0.9892844557762146}]"
"[{'label': 'NEGATIVE', 'score': 0.9956284761428833}]","[{'label': 'POSITIVE', 'score': 0.7852485775947571}]","[{'label': 'NEGATIVE', 'score': 0.997212827205658}]","[{'label': 'POSITIVE', 'score': 0.9860407114028931}]"
"[{'label': 'NEGATIVE', 'score': 0.9973776340484619}]","[{'label': 'NEGATIVE', 'score': 0.9974561333656311}]","[{'label': 'NEGATIVE', 'score': 0.9976377487182617}]","[{'label': 'POSITIVE', 'score': 0.9857094287872314}]"
"[{'label': 'NEGATIVE', 'score': 0.9970730543136597}]","[{'label': 'POSITIVE', 'score': 0.581369161605835}]","[{'label': 'NEGATIVE', 'score': 0.9896512031555176}]","[{'label': 'POSITIVE', 'score': 0.9964689016342163}]"
"[{'label': 'POSITIVE', 'score': 0.9984027743339539}]","[{'label': 'NEGATIVE', 'score': 0.9965496063232422}]","[{'label': 'NEGATIVE', 'score': 0.9975827932357788}]","[{'label': 'NEGATIVE', 'score': 0.9976885318756104}]"
"[{'label': 'NEGATIVE', 'score': 0.9975691437721252}]","[{'label': 'NEGATIVE', 'score': 0.9976117610931396}]","[{'label': 'NEGATIVE', 'score': 0.997660756111145}]","[{'label': 'POSITIVE', 'score': 0.9607216119766235}]"
"[{'label': 'NEGATIVE', 'score': 0.9965309500694275}]","[{'label': 'POSITIVE', 'score': 0.995381772518158}]","[{'label': 'NEGATIVE', 'score': 0.9979203343391418}]","[{'label': 'POSITIVE', 'score': 0.9983170032501221}]"
"[{'label': 'NEGATIVE', 'score': 0.9968698620796204}]","[{'label': 'NEGATIVE', 'score': 0.9977546334266663}]","[{'label': 'NEGATIVE', 'score': 0.9975966811180115}]","[{'label': 'POSITIVE', 'score': 0.997581958770752}]"
"[{'label': 'POSITIVE', 'score': 0.998489499092102}]","[{'label': 'NEGATIVE', 'score': 0.9974986910820007}]","[{'label': 'NEGATIVE', 'score': 0.9975000023841858}]","[{'label': 'NEGATIVE', 'score': 0.9849343299865723}]"
"[{'label': 'NEGATIVE', 'score': 0.9971590042114258}]","[{'label': 'NEGATIVE', 'score': 0.9978231191635132}]","[{'label': 'NEGATIVE', 'score': 0.7896831035614014}]","[{'label': 'POSITIVE', 'score': 0.946030855178833}]"
"[{'label': 'NEGATIVE', 'score': 0.9965747594833374}]","[{'label': 'NEGATIVE', 'score': 0.6682736873626709}]","[{'label': 'NEGATIVE', 'score': 0.9977739453315735}]","[{'label': 'POSITIVE', 'score': 0.6702948212623596}]"
"[{'label': 'POSITIVE', 'score': 0.9979965090751648}]","[{'label': 'NEGATIVE', 'score': 0.9975171089172363}]","[{'label': 'NEGATIVE', 'score': 0.9977288842201233}]","[{'label': 'NEUTRAL', 'score': 0.5813060402870178}]"
